"ven_lati","ven_long","ven_vlrnot"
"-3.8044138","-38.4759764","35.9"
"-3.777556","-38.556462","40.38"
"-3.776549","-38.549643","45.29"
"-3.77529","-38.554409","223.28"
"-3.77475","-38.551801","41.29"
"-3.771722","-38.57587","48.89"
"-3.770903","-38.573876","84.49"
"-3.770652","-38.543401","63.89"
"-3.770499","-38.578053","45.79"
"-3.770499","-38.540868","42.88"
"-3.770304","-38.539628","65.79"
"-3.769785","-38.5527757","66.7"
"-3.769629","-38.54231","330.57"
"-3.768989","-38.581543","56.02"
"-3.768961","-38.544274","47.49"
"-3.76896","-38.537737","59.79"
"-3.768955","-38.537753","93.09"
"-3.7688373","-38.5466729","35.39"
"-3.768837","-38.540289","178.49"
"-3.768813","-38.570849","130.7"
"-3.768808","-38.54029","666.42"
"-3.768806","-38.551134","68.79"
"-3.768797","-38.551252","295.56"
"-3.768629","-38.549028","120.28"
"-3.768538","-38.552317","277.58"
"-3.768509","-38.545974","33.88"
"-3.768403","-38.539104","102.67"
"-3.76839","-38.571154","5050.85"
"-3.768355","-38.570882","473.50"
"-3.768355","-38.570874","40.88"
"-3.768257","-38.540059","232.27"
"-3.768151","-38.554781","47.29"
"-3.768062","-38.554679","43.59"
"-3.768007","-38.540125","84.19"
"-3.767969","-38.544159","115.49"
"-3.767877","-38.577442","40.88"
"-3.767867","-38.550136","51.79"
"-3.76785","-38.582177","62.79"
"-3.767843","-38.556138","84.26"
"-3.7677941","-38.532597","96.49"
"-3.767756","-38.540328","110.67"
"-3.767599","-38.539707","117.59"
"-3.767378","-38.572138","294.25"
"-3.7673574","-38.5400291","59.79"
"-3.767298","-38.553362","103.79"
"-3.767194","-38.542835","136.48"
"-3.767182","-38.541568","134.58"
"-3.767178","-38.535888","1725.36"
"-3.767127","-38.535992","42.78"
"-3.7669743","-38.5580343","115.58"
"-3.76697","-38.555936","83.94"
"-3.7669577","-38.5560303","86.69"
"-3.76695","-38.555881","56.79"
"-3.766942","-38.547431","121.46"
"-3.766892","-38.549558","297.27"
"-3.766878","-38.575908","49.89"
"-3.766867","-38.536898","306.19"
"-3.76682","-38.57191","105.79"
"-3.766683","-38.535851","80.89"
"-3.766681","-38.570908","103.59"
"-3.766643","-38.555547","110.08"
"-3.76663","-38.552966","89.76"
"-3.766585","-38.582297","66.79"
"-3.766501","-38.560828","105.69"
"-3.766485","-38.548679","40.78"
"-3.766354","-38.539585","1089.84"
"-3.76635","-38.539575","39.88"
"-3.766271","-38.560986","48.88"
"-3.766263","-38.5396934","217.34"
"-3.76624","-38.548522","50.89"
"-3.766238","-38.552678","69.79"
"-3.766198","-38.539603","342.33"
"-3.766128","-38.558859","78.19"
"-3.766096","-38.552665","196.08"
"-3.76609","-38.539681","376.43"
"-3.766073","-38.554544","169.17"
"-3.765945","-38.535686","278.87"
"-3.765943","-38.562708","44.88"
"-3.765933","-38.5396","75.59"
"-3.7659092","-38.5364913","82.59"
"-3.765821","-38.539561","125.18"
"-3.76572","-38.558316","196.28"
"-3.765671","-38.545037","68.79"
"-3.765667","-38.562709","176.38"
"-3.765632","-38.555402","125.69"
"-3.765441","-38.544502","26.89"
"-3.76543","-38.56863","100.67"
"-3.765361","-38.551219","706.71"
"-3.765341","-38.555855","931.54"
"-3.765338","-38.578352","115.78"
"-3.765329","-38.555847","82.69"
"-3.765325","-38.561513","139.41"
"-3.765303","-38.578365","54.24"
"-3.765296","-38.568511","2793.96"
"-3.7652598","-38.5320269","50.9"
"-3.765233","-38.568598","133.99"
"-3.765216","-38.554926","117.99"
"-3.765196","-38.569154","1465.30"
"-3.765192","-38.542831","71.09"
"-3.76518","-38.569075","1376.72"
"-3.765163","-38.561506","169.40"
"-3.765139","-38.554339","204.91"
"-3.765119","-38.562608","437.31"
"-3.765118","-38.562608","264.96"
"-3.765064","-38.570209","148.58"
"-3.765023","-38.568538","422.16"
"-3.764967","-38.554347","207.49"
"-3.764966","-38.554348","94.59"
"-3.764942","-38.554353","486.41"
"-3.764917","-38.542275","541.24"
"-3.76491","-38.554499","138.38"
"-3.7649","-38.54228","28.88"
"-3.764891","-38.568663","68.79"
"-3.764855","-38.555837","81.9"
"-3.76484","-38.569245","65.69"
"-3.764814","-38.570526","67.79"
"-3.764796","-38.545571","50.79"
"-3.764781","-38.555913","70.79"
"-3.764763","-38.542229","120.43"
"-3.76476","-38.570533","194.78"
"-3.764758","-38.556675","57.59"
"-3.764627","-38.55084","530.76"
"-3.764625","-38.562943","39.78"
"-3.764586","-38.564655","75.56"
"-3.764584","-38.561508","77.79"
"-3.764568","-38.564895","62.79"
"-3.764556","-38.568755","110.57"
"-3.764554","-38.555266","50.41"
"-3.764545","-38.564869","77.19"
"-3.764544","-38.564869","393.65"
"-3.7644871","-38.5618779","60.79"
"-3.76448","-38.55545","43.79"
"-3.764426","-38.572972","35.88"
"-3.764419","-38.574125","84.69"
"-3.764391","-38.571974","327.86"
"-3.764332","-38.559237","49.79"
"-3.764321","-38.565043","45.39"
"-3.764307","-38.56775","111.39"
"-3.764283","-38.537012","30.89"
"-3.7642825","-38.537012","58.79"
"-3.76425","-38.552184","111.78"
"-3.764248","-38.557255","50.89"
"-3.764247","-38.547065","65.79"
"-3.764239","-38.557496","154.46"
"-3.7641558","-38.5401831","173.79"
"-3.7641087","-38.5637798","92.59"
"-3.764027","-38.576221","65.59"
"-3.763893","-38.565407","32.88"
"-3.763809","-38.551752","122.03"
"-3.763735","-38.582196","920.08"
"-3.763698","-38.551528","52.79"
"-3.763635","-38.58067","127.4"
"-3.763628","-38.545493","82.09"
"-3.763578","-38.533553","82.89"
"-3.763537","-38.543588","88.76"
"-3.763531","-38.543589","113.68"
"-3.763491","-38.572785","389.54"
"-3.763489","-38.57283","66.79"
"-3.763486","-38.560636","532.73"
"-3.763461","-38.572849","54.69"
"-3.7634603","-38.5727941","1088.26"
"-3.76346","-38.572857","382.14"
"-3.76346","-38.572794","87.69"
"-3.763458","-38.572856","1038.17"
"-3.763417","-38.572885","936.79"
"-3.763411","-38.572734","194.26"
"-3.763374","-38.564796","67.69"
"-3.763333","-38.53928","85.68"
"-3.76332","-38.539237","55.39"
"-3.763317","-38.572879","129.38"
"-3.763316","-38.541697","67.79"
"-3.763307","-38.557406","96.79"
"-3.763305","-38.557434","89.67"
"-3.763221","-38.568588","905.48"
"-3.763212","-38.568652","961.86"
"-3.763197","-38.553899","152.69"
"-3.763188","-38.57035","284.76"
"-3.763174","-38.541676","273.97"
"-3.763059","-38.53175","149.18"
"-3.76305","-38.572589","77.76"
"-3.76302","-38.570193","46.79"
"-3.762995","-38.568559","410.87"
"-3.762986","-38.573265","48.89"
"-3.762964","-38.532373","313.38"
"-3.762963","-38.532373","179.79"
"-3.76291","-38.573966","99.59"
"-3.762909","-38.574064","203.65"
"-3.762908","-38.573976","65.29"
"-3.762906","-38.531546","81.69"
"-3.762895","-38.532262","68.9"
"-3.762868","-38.532197","174.18"
"-3.762867","-38.531336","76.78"
"-3.762812","-38.55565","149.27"
"-3.762797","-38.538828","69.59"
"-3.762776","-38.574198","62.29"
"-3.762773","-38.532058","330.86"
"-3.762772","-38.571913","104.47"
"-3.7627715","-38.5313289","82.92"
"-3.762765","-38.53215","101.49"
"-3.762759","-38.53179","153.18"
"-3.76274","-38.532335","451.83"
"-3.762728","-38.532199","45.79"
"-3.762718","-38.568038","38.88"
"-3.762711","-38.532275","177.18"
"-3.762696","-38.555788","224.28"
"-3.76266","-38.532277","258.10"
"-3.762658","-38.53462","54.79"
"-3.762651","-38.532404","321.45"
"-3.762611","-38.572371","1757.37"
"-3.762609","-38.572371","107.59"
"-3.7626071","-38.5723434","80.69"
"-3.762607","-38.572343","108.98"
"-3.762604","-38.554924","76.69"
"-3.762596","-38.572376","67.79"
"-3.762588","-38.534535","170.38"
"-3.762581","-38.572061","51.3"
"-3.762561","-38.541933","39.88"
"-3.762559","-38.531647","170.19"
"-3.762538","-38.534641","152.48"
"-3.762535","-38.532259","64.69"
"-3.762513","-38.572281","377.75"
"-3.762495","-38.549691","46.59"
"-3.762485","-38.572322","58.79"
"-3.762479","-38.574847","197.69"
"-3.7624737","-38.5673907","45.24"
"-3.762464","-38.56733","71.79"
"-3.762451","-38.572312","100.39"
"-3.762444","-38.568935","252.16"
"-3.76244","-38.567969","104.08"
"-3.762431","-38.570559","69.49"
"-3.76242","-38.572273","111.49"
"-3.762399","-38.572354","111.49"
"-3.762398","-38.574695","54.3"
"-3.762395","-38.572307","323.95"
"-3.76234","-38.53292","48.29"
"-3.762309","-38.549583","110.48"
"-3.762301","-38.572458","48.79"
"-3.762275","-38.570406","368.55"
"-3.762273","-38.532272","917.37"
"-3.762255","-38.5486964","64.79"
"-3.762243","-38.573473","336.27"
"-3.762242","-38.573474","149.46"
"-3.762242","-38.573473","348.88"
"-3.762221","-38.564056","57.69"
"-3.76222","-38.567393","293.17"
"-3.762208","-38.5736","58.89"
"-3.762159","-38.572235","87.56"
"-3.762131","-38.572439","443.53"
"-3.76208","-38.540702","2257.02"
"-3.762069","-38.534362","1605.09"
"-3.762022","-38.544785","46.79"
"-3.762018","-38.540502","203.00"
"-3.7620134","-38.5449306","46.8"
"-3.762013","-38.544931","93.58"
"-3.762013","-38.540493","3033.46"
"-3.762011","-38.567101","90.69"
"-3.761991","-38.530978","172.88"
"-3.761989","-38.544918","41.58"
"-3.761964","-38.572345","41.88"
"-3.761961","-38.553439","98.59"
"-3.761939","-38.550481","31.88"
"-3.761937","-38.572365","43.79"
"-3.761917","-38.547307","174.37"
"-3.761914","-38.540018","262.87"
"-3.761906","-38.540059","130.59"
"-3.761893","-38.547557","89.69"
"-3.761859","-38.53491","55.79"
"-3.761853","-38.566055","138.19"
"-3.761833","-38.54765","72"
"-3.761819","-38.572329","93.29"
"-3.761789","-38.551842","60.89"
"-3.761777","-38.560249","87.76"
"-3.761755","-38.566947","88.47"
"-3.761719","-38.54683","47.19"
"-3.76169","-38.529506","707.82"
"-3.761669","-38.546597","363.59"
"-3.761668","-38.575718","183.47"
"-3.7616678","-38.5757183","121.59"
"-3.761665","-38.529743","221.18"
"-3.761661","-38.546647","71.79"
"-3.761639","-38.547845","65.19"
"-3.7616389","-38.547845","71.2"
"-3.761633","-38.567906","1967.73"
"-3.761633","-38.549235","250.68"
"-3.761597","-38.56744","43.88"
"-3.761595","-38.57037","71.29"
"-3.761568","-38.546679","70.69"
"-3.761554","-38.542073","32.88"
"-3.761547","-38.581125","66.79"
"-3.761534","-38.539536","65.79"
"-3.761533","-38.546706","488.90"
"-3.761522","-38.539608","127.58"
"-3.76152","-38.574338","64.59"
"-3.76147","-38.55169","40.78"
"-3.761391","-38.577649","63.79"
"-3.761353","-38.534189","202.87"
"-3.761351","-38.530447","105.68"
"-3.7613466","-38.5758365","151.48"
"-3.761337","-38.537139","135.88"
"-3.761333","-38.557136","87.44"
"-3.761326","-38.530461","518.09"
"-3.761304","-38.534397","121.13"
"-3.761299","-38.557178","382.77"
"-3.7612844","-38.5713898","55"
"-3.761234","-38.568495","669.86"
"-3.761221","-38.538454","36.88"
"-3.761201","-38.570703","52.89"
"-3.7611707","-38.5900785","100.32"
"-3.761165","-38.553147","290.66"
"-3.761152","-38.542439","91.57"
"-3.761121","-38.537249","175.18"
"-3.761089","-38.558545","80.76"
"-3.761075","-38.558662","53.79"
"-3.761075","-38.542411","116.78"
"-3.761068","-38.558662","41.88"
"-3.761046","-38.558403","122.71"
"-3.7610451","-38.5428848","86.59"
"-3.761043","-38.558402","228.06"
"-3.761032","-38.569172","99.59"
"-3.761015","-38.551444","34.88"
"-3.761011","-38.534482","61.79"
"-3.761003","-38.558595","861.52"
"-3.76099","-38.553593","49.89"
"-3.7609878","-38.5401775","143.49"
"-3.760938","-38.558111","105.59"
"-3.7608671","-38.5587224","53.89"
"-3.760867","-38.558722","167.67"
"-3.760865","-38.543469","64.39"
"-3.7608","-38.550833","54.79"
"-3.760796","-38.544192","520.65"
"-3.760787","-38.553885","200.36"
"-3.760787","-38.553884","53.79"
"-3.760754","-38.568324","357.24"
"-3.760731","-38.577948","97.69"
"-3.760722","-38.5539879","37.6"
"-3.760693","-38.58269","57.39"
"-3.760654","-38.558172","44.23"
"-3.76065","-38.568607","185.27"
"-3.760646","-38.577115","123.19"
"-3.760641","-38.540035","277.07"
"-3.760632","-38.558809","484.89"
"-3.7606317","-38.5594207","117.04"
"-3.760534","-38.56701","462.33"
"-3.7605062","-38.5399157","320.78"
"-3.760491","-38.539883","2361.65"
"-3.76039","-38.559325","40.78"
"-3.760372","-38.543349","340.85"
"-3.760368","-38.5315588","64.8"
"-3.760366","-38.547465","590.23"
"-3.760357","-38.545933","52.79"
"-3.7603512","-38.5593209","669.11"
"-3.760351","-38.559321","364.65"
"-3.760329","-38.54329","103.69"
"-3.7603128","-38.5594254","270.0"
"-3.760297","-38.551547","23.89"
"-3.760292","-38.570211","217.66"
"-3.760274","-38.547577","81.68"
"-3.760274","-38.542719","152.84"
"-3.760267","-38.544017","62.69"
"-3.760229","-38.565427","48.89"
"-3.760213","-38.554526","115.39"
"-3.760171","-38.55196","50.8"
"-3.760151","-38.556586","129.79"
"-3.760126","-38.525533","199.08"
"-3.76012","-38.552581","37.8"
"-3.76012","-38.551119","53.79"
"-3.760119","-38.546944","48.89"
"-3.7600933","-38.5452902","163.17"
"-3.760083","-38.555034","39.78"
"-3.760071","-38.53997","111.67"
"-3.760051","-38.549575","26.88"
"-3.760042","-38.551024","146.82"
"-3.760041","-38.553341","49.79"
"-3.760035","-38.549614","20.89"
"-3.760023","-38.578261","97.79"
"-3.760007","-38.553896","42.8"
"-3.760006","-38.57819","91.49"
"-3.759956","-38.545478","111.28"
"-3.7599425","-38.5455832","69.79"
"-3.759929","-38.579735","1805.39"
"-3.759913","-38.522353","65.59"
"-3.759907","-38.550175","42.8"
"-3.759834","-38.556603","99.79"
"-3.759824","-38.55445","101.78"
"-3.759809","-38.539727","53.79"
"-3.759789","-38.547647","104.39"
"-3.759779","-38.556245","185.68"
"-3.759772","-38.556272","60.69"
"-3.759772","-38.539879","115.07"
"-3.759763","-38.556267","20.88"
"-3.759759","-38.556271","74.29"
"-3.759752","-38.554066","196.69"
"-3.75975","-38.539889","32.88"
"-3.75973","-38.547825","376.51"
"-3.759727","-38.552565","46.79"
"-3.759696","-38.549738","30.88"
"-3.759688","-38.552513","205.93"
"-3.759679","-38.552547","82.69"
"-3.759672","-38.549341","178.78"
"-3.759666","-38.547815","510.73"
"-3.7596627","-38.5393281","64"
"-3.75964","-38.549537","182.15"
"-3.759637","-38.537349","1154.99"
"-3.759611","-38.538096","225.98"
"-3.759611","-38.53668","69.76"
"-3.759576","-38.554282","81.94"
"-3.759567","-38.567399","993.22"
"-3.75951","-38.547966","842.96"
"-3.759503","-38.532798","172.45"
"-3.759488","-38.578024","85.49"
"-3.7594753","-38.5497183","69.8"
"-3.759475","-38.549718","55.6"
"-3.759473","-38.549718","52.7"
"-3.759466","-38.570031","38.88"
"-3.759463","-38.549719","43.89"
"-3.759453","-38.572128","370.49"
"-3.759439","-38.554128","42.78"
"-3.759427","-38.55529","135.50"
"-3.759414","-38.569852","79.69"
"-3.759411","-38.557803","178.17"
"-3.759407","-38.549698","25.89"
"-3.759406","-38.555403","489.80"
"-3.759405","-38.529876","285.07"
"-3.759392","-38.537179","75.79"
"-3.75939","-38.546944","75.6"
"-3.759375","-38.565361","23.88"
"-3.759373","-38.545821","80.79"
"-3.759362","-38.553024","41.78"
"-3.75935","-38.540227","38.88"
"-3.7593484","-38.5698974","569.50"
"-3.759339","-38.548754","171.57"
"-3.7593347","-38.5699191","2186.20"
"-3.759321","-38.550283","120.58"
"-3.759315","-38.550275","47.28"
"-3.759308","-38.546892","69.8"
"-3.759301","-38.530334","564.34"
"-3.7593008","-38.530334","217.19"
"-3.7593","-38.530334","40.68"
"-3.759287","-38.53309","127.79"
"-3.759285","-38.554707","65.76"
"-3.759283","-38.549176","47.59"
"-3.759271","-38.554642","77.76"
"-3.759271","-38.549729","25.89"
"-3.759245","-38.554617","240.77"
"-3.759237","-38.552582","41.7"
"-3.759229","-38.548887","31.88"
"-3.75919","-38.537814","39.88"
"-3.759174","-38.556386","29.79"
"-3.759165","-38.525767","38.88"
"-3.759156","-38.532937","80.79"
"-3.759148","-38.553793","103.78"
"-3.759126","-38.580811","32.88"
"-3.759118","-38.557663","33.68"
"-3.759117","-38.546327","26.88"
"-3.759102","-38.55623","39.88"
"-3.759102","-38.556229","108.76"
"-3.759101","-38.556214","332.54"
"-3.759096","-38.532857","922.21"
"-3.759069","-38.530258","83.94"
"-3.759035","-38.579181","307.77"
"-3.758998","-38.580843","150.08"
"-3.758968","-38.55627","272.84"
"-3.758957","-38.548473","96.04"
"-3.758957","-38.532637","37.88"
"-3.758901","-38.556298","123.77"
"-3.758893","-38.544679","43.4"
"-3.758889","-38.555711","136.15"
"-3.758856","-38.56411","36.98"
"-3.758854","-38.529772","158.23"
"-3.758848","-38.544991","36.88"
"-3.758824","-38.532758","302.56"
"-3.758801","-38.538514","106.59"
"-3.758796","-38.532793","46.81"
"-3.758779","-38.532774","307.82"
"-3.758777","-38.545509","1549.67"
"-3.7587621","-38.5683136","65.7"
"-3.758759","-38.532558","98.69"
"-3.758756","-38.558718","58.19"
"-3.758745","-38.581699","71.79"
"-3.758717","-38.544476","231.07"
"-3.758663","-38.548474","44.8"
"-3.758615","-38.553968","45.92"
"-3.758601","-38.538683","28.89"
"-3.758597","-38.527106","161.89"
"-3.758586","-38.548429","237.03"
"-3.7585824","-38.5329926","139.59"
"-3.758581","-38.555475","81.19"
"-3.75858","-38.564252","197.38"
"-3.758568","-38.55074","25.89"
"-3.758552","-38.564305","36.88"
"-3.7585483","-38.5528911","52.89"
"-3.758529","-38.551432","21.89"
"-3.7585164","-38.5297146","43.8"
"-3.758516","-38.529715","415.97"
"-3.7585071","-38.5281658","65.79"
"-3.758494","-38.550094","782.28"
"-3.758484","-38.569963","308.06"
"-3.75848","-38.528221","96.29"
"-3.758466","-38.570033","708.73"
"-3.758456","-38.556631","57.79"
"-3.758424","-38.528302","73.56"
"-3.758423","-38.528302","49.79"
"-3.758403","-38.529723","281.24"
"-3.758367","-38.537302","74.19"
"-3.75836","-38.555943","53.89"
"-3.758339","-38.550162","114.4"
"-3.758339","-38.550161","241.2"
"-3.758338","-38.550161","539.28"
"-3.7583368","-38.5279333","140.88"
"-3.758336","-38.54958","35.89"
"-3.758315","-38.528105","189.36"
"-3.758303","-38.550854","37.88"
"-3.7583","-38.56776","41.88"
"-3.758296","-38.544458","63.24"
"-3.758292","-38.556511","86.59"
"-3.758281","-38.564113","35.88"
"-3.75828","-38.537165","52.59"
"-3.7582797","-38.5371653","62.23"
"-3.758262","-38.555895","60.79"
"-3.758251","-38.548624","23.89"
"-3.758217","-38.544405","28.79"
"-3.758206","-38.547093","926.81"
"-3.758188","-38.552893","27.9"
"-3.7581877","-38.5856178","807.28"
"-3.758187","-38.55487","48.7"
"-3.758157","-38.528199","613.51"
"-3.758146","-38.556767","35.88"
"-3.75812","-38.55049","50.89"
"-3.758119","-38.550611","298.99"
"-3.758117","-38.550613","73.69"
"-3.758106","-38.550876","28.88"
"-3.758104","-38.550262","1690.93"
"-3.758091","-38.556204","57.69"
"-3.758087","-38.552614","43.79"
"-3.75808","-38.545339","173.89"
"-3.75807","-38.547824","62.9"
"-3.758068","-38.545435","66.59"
"-3.758059","-38.547182","290.53"
"-3.7580513","-38.5654164","182.1"
"-3.758047","-38.550886","133.28"
"-3.758026","-38.565365","41.78"
"-3.758025","-38.54227","115.18"
"-3.75802","-38.563891","25.89"
"-3.758015","-38.58793","70.69"
"-3.758006","-38.548284","25.89"
"-3.757984","-38.544526","31.88"
"-3.757983","-38.572333","44.79"
"-3.757969","-38.554724","38.88"
"-3.757961","-38.547791","54.78"
"-3.757941","-38.554148","20.88"
"-3.757918","-38.539882","577.13"
"-3.757907","-38.54794","209.93"
"-3.75789","-38.527247","220.26"
"-3.75788","-38.527999","267.55"
"-3.757876","-38.566019","31.79"
"-3.757867","-38.54807","23.89"
"-3.757836","-38.550645","237.96"
"-3.757834","-38.544031","42.9"
"-3.757832","-38.544081","45.8"
"-3.7578265","-38.5661086","78.7"
"-3.757825","-38.548879","31.79"
"-3.757799","-38.547706","32.29"
"-3.757796","-38.527274","115.96"
"-3.757792","-38.54966","201.07"
"-3.757785","-38.549664","100.79"
"-3.757784","-38.549665","497.02"
"-3.757777","-38.549655","1751.75"
"-3.757775","-38.549655","49.8"
"-3.7577704","-38.5496788","114.4"
"-3.75777","-38.549679","221.38"
"-3.757769","-38.552165","325.52"
"-3.757769","-38.549659","1030.47"
"-3.757765","-38.586579","100.09"
"-3.757753","-38.583148","95.57"
"-3.757746","-38.548271","49.69"
"-3.7577411","-38.5306581","47.89"
"-3.757732","-38.551424","214.17"
"-3.757726","-38.550138","181.27"
"-3.757699","-38.568879","113.39"
"-3.757698","-38.543547","30.89"
"-3.757692","-38.549625","3716.35"
"-3.757692","-38.526398","1354.07"
"-3.75769","-38.526179","216.29"
"-3.757678","-38.551959","109.97"
"-3.757678","-38.526162","1398.87"
"-3.7576778","-38.5261618","44.89"
"-3.757676","-38.551168","39.38"
"-3.757673","-38.554353","74.69"
"-3.757663","-38.553094","48.24"
"-3.757655","-38.544247","21.89"
"-3.75765","-38.545257","111.35"
"-3.757613","-38.549657","162.56"
"-3.757595","-38.544721","389.34"
"-3.757595","-38.532139","228.55"
"-3.757588","-38.530842","54.1"
"-3.757576","-38.545894","61.8"
"-3.757547","-38.546972","23.89"
"-3.757541","-38.543814","43.28"
"-3.7575135","-38.5321602","69.39"
"-3.757502","-38.544651","51.8"
"-3.7575","-38.564561","26.88"
"-3.7575","-38.548066","27.89"
"-3.757494","-38.544702","209.25"
"-3.757491","-38.544689","234.05"
"-3.757473","-38.541784","145"
"-3.757449","-38.588657","211.77"
"-3.7574343","-38.5379462","537.21"
"-3.757434","-38.537946","349.95"
"-3.757434","-38.531784","95.79"
"-3.757431","-38.566672","30.89"
"-3.757386","-38.532307","61.29"
"-3.7573721924948","-38.5446898920307","49.8"
"-3.757345","-38.528146","146.37"
"-3.757318","-38.52785","72.29"
"-3.757317","-38.52785","129.28"
"-3.757311","-38.547167","35.79"
"-3.757305","-38.541632","41.88"
"-3.7573","-38.563976","35.89"
"-3.757283","-38.545479","271.94"
"-3.757274","-38.527722","80.29"
"-3.757264","-38.553333","75.94"
"-3.757249","-38.548926","62.79"
"-3.757242","-38.547574","116.66"
"-3.757236","-38.586358","97.44"
"-3.757229","-38.531139","42.88"
"-3.757223","-38.551081","138.47"
"-3.757221","-38.549226","583.47"
"-3.75722","-38.544716","23.89"
"-3.7572","-38.544543","97.65"
"-3.757199","-38.549335","150.54"
"-3.757198","-38.551027","53.79"
"-3.757198","-38.549335","75.95"
"-3.757172","-38.566761","23.89"
"-3.757161","-38.564201","32.89"
"-3.75715","-38.544749","110.19"
"-3.757148","-38.543752","35.88"
"-3.757141","-38.542381","53.79"
"-3.75713","-38.542552","26.88"
